,identifier,titleEn,scopeEn
411,01.040.27,Energy and heat transfer engineering (Vocabularies),
412,01.040.29,Electrical engineering (Vocabularies),
413,01.040.31,Electronics (Vocabularies),
414,01.040.33,Telecommunications. Audio and video engineering (Vocabularies),
415,01.040.35,Information technology (Vocabularies),
416,01.040.37,Image technology (Vocabularies),
417,01.040.39,Precision mechanics. Jewellery (Vocabularies),
418,01.040.43,Road vehicle engineering (Vocabularies),
419,01.040.45,Railway engineering (Vocabularies),
420,01.040.47,Shipbuilding and marine structures (Vocabularies),
421,01.040.49,Aircraft and space vehicle engineering (Vocabularies),
422,01.040.53,Materials handling equipment (Vocabularies),
423,01.040.55,Packaging and distribution of goods (Vocabularies),
424,01.040.59,Textile and leather technology (Vocabularies),
425,01.040.61,Clothing industry (Vocabularies),
426,01.040.65,Agriculture (Vocabularies),
427,01.040.67,Food technology (Vocabularies),
428,01.040.71,Chemical technology (Vocabularies),
429,01.040.73,Mining and minerals (Vocabularies),
430,01.040.75,Petroleum and related technologies (Vocabularies),
431,01.040.77,Metallurgy (Vocabularies),
432,01.040.79,Wood technology (Vocabularies),
433,01.040.81,Glass and ceramics industries (Vocabularies),
434,01.040.83,Rubber and plastics industries (Vocabularies),
435,01.040.85,Paper technology (Vocabularies),
436,01.040.87,Paint and colour industries (Vocabularies),
437,01.040.91,Construction materials and building (Vocabularies),
438,01.040.93,Civil engineering (Vocabularies),
439,01.040.95,Military Affairs. Military engineering. Weapons (Vocabularies),
440,01.040.97,Domestic and commercial equipment. Entertainment. Sports (Vocabularies),
441,01.080.01,Graphical symbols in general,
442,01.080.10,Public information symbols. Signs. Plates. Labels,"Including safety signs, safety colours, etc."
443,01.080.20,Graphical symbols for use on specific equipment,
444,01.080.30,"Graphical symbols for use on mechanical engineering and construction drawings, diagrams, plans, maps and in relevant technical product documentation",
445,01.080.40,"Graphical symbols for use on electrical and electronics engineering drawings, diagrams, charts and in relevant technical product documentation",
446,01.080.50,Graphical symbols for use on information technology and telecommunications technical drawings and in relevant technical product documentation,
447,01.080.99,Other graphical symbols,
448,01.100.01,Technical drawings in general,
449,01.100.20,Mechanical engineering drawings,
450,01.100.25,Electrical and electronics engineering drawings,"Including electrical tables, diagrams and charts"
451,01.100.27,Technical drawings for telecommunications and information technology fields,
452,01.100.30,Construction drawings,Including civil engineering drawings
453,01.100.40,Drawing equipment,
454,01.100.99,Other standards related to technical drawings,
455,01.140.10,Writing and transliteration,
456,01.140.20,Information sciences,"Including documentation, librarianship and archive systems"
457,01.140.30,"Documents in administration, commerce and industry",
458,01.140.40,Publishing,
459,03.080.01,Services in general,
460,03.080.10,Maintenance services. Facilities management,Including cleaning and pest control
461,03.080.20,Services for companies,"Including publicity, advertising, professional services, recruitment services, management consultancy, outsourcing, etc."
462,03.080.30,Services for consumers,"Including hotels, restaurants, washing, cleaning, removals, funerals, real estate, vehicle repair and servicing, furniture removals, services for elderly, sheltered housing services for elderly, sheltered housing, etc."
463,03.080.99,Other services,
464,03.100.01,Company organization and management in general,"Including legal aspects and risk management, societal security, outsourcing"
465,03.100.02,Governance and ethics,"Including anti-bribery, anti-procurement fraud, corporate social responsibility"
466,03.100.10,Purchasing. Procurement. Logistics,"Including asset management, supply chain, etc."
